Asset Name,Token Name
Cardano native currency,ADA
Algorand native currency,ALGO
Avalanche,AVAX
Bitcoin. The first and the only.,BTC
Elon’s favorite Dog.,DOGE
Near native currency,NEAR
Polkadot native currency,DOT
Centrifuge native currency,CFG
Ethereum,ETH
Fantom,FTM
Optimism,OP
Lite Coin native currency,LTC
Kusama – Polkadot’s Canary network,KSM
Tron native currency,TRX
Stellar native coin.,XLM
Ripple.,XRP
Cosmos.,ATOM
Polygon,MATIC
Tezos native currency,XTZ
Solana,SOL
Polymesh,POLYX
Binance Coin,BNB
UniSwap token,UNI
Aave,AAVE
Amp,AMP
Balancer,BAL
Band Protocol,BAND
Bancor Network Token,BNT
Compound,COMP
Curve DAO Token,CRV
Civic,CVC
Dai Stablecoin,DAI
Ethereum Name Service,ENS
Gnosis Token,GNO
The Graph,GRT
Keep Network,KEEP
Kyber Network Crystal,KNC
ChainLink Token,LINK
Loom Network,LOOM
LoopringCoin V2,LRC
Decentraland,MANA
Maker,MKR
Numeraire,NMR
Orchid,OXT
Republic Token,REN
Synthetix Network Token,SNX
Storj Token,STORJ
UMA Voting Token v1,UMA
Uniswap,UNI
USDCoin,USDC
Tether USD,USDT
Wrapped BTC,WBTC
yearn finance,YFI
0x Protocol Token,ZRX
PancakeSwap,CAKE
1inch,1INCH
Down Below,ABYSS
ACA Token,ACA
Alchemy Pay,ACH
AccessLauncher,ACX
Binance Peg Cardano,ADA
Adshares,ADS
Ambire AdEx,ADX
AIOZ Network,AIOZ
Aleph im,ALEPH
Alita,ALI
My Neighbor Alice,ALICE
Alpaca Finance,ALPACA
Alpha Finance,ALPHA
Alpine F1 Team Fan,ALPINE
Alitas,ALT
Altura,ALU
Ampleforth,AMPL
Ankr,ANKR
Anyswap,ANY
smARTOFGIVING,AOG
APEcoin,APE
Apollo Coin,APX
Ariva,ARV
Automata,ATA
Star Atlas  Wormhol,ATLAS
Cosmos Hub,ATOM
Atari,ATRI
Aurory  Wormhole,AURY
Auto,AUTO
Binance Peg Avalanc,AVAX
AXL INU,AXL
Axie Infinity,AXS
BabySwap,BABY
BakerySwap,BAKE
Banano,BAN
ApeSwap Finance,BANANA
Hierocoin,BAR
Binance Peg Bitcoin,BCH
Bella Protocol,BEL
Beta Finance,BETA
Bitfresh,BFT
Beefy Finance,BIFI
Biconomy Exchange T,BIT
Bluzelle,BLZ
BinaryX,BNX
Bondly,BONDLY
BoringDAO  OLD,BOR
BNBRise,BRISE
BSCPAD,BSCPAD
Biswap,BSW
Binance Bitcoin,BTCB
BTC Standard Hashra,BTCST
Bolt Share,BTS
BitTorrent  OLD,BTTOLD
Burger Swap,BURGER
Binance USD,BUSD
BUX Token,BUX
Coin98,C98
Ternoa,CAPS
Crossing the Yellow,CBK
CEEK Smart VR Token,CEEK
Cellframe,CELL
Crypto Energy Token,CET
Chain Guardians,CGG
Curio Governance,CGT
Tranchess,CHESS
XAYA,CHI
Chromia,CHR
Clover Finance,CLV
Moonpoly,CMP
Compound,COMP
Coin of Nature,CON
Circuits of Value,COVAL
Creator Protocol,CRE
Cratos,CRTS
Cartesi,CTSI
CoviCoin,CVC
Community Vote Powe,CVP
DAI  Wormhole,DAI
DAO Maker,DAO
Mines of Dalarnia,DAR
Streamr,DATA
Dhabicoin,DBC
Dego Finance,DEGO
Depth Token,DEP
DeRace,DERC
DeXe,DEXE
DexTools,DEXT
DfiStarter,DFI
Defily,DFL
Decentral Games  Ol,DG
DIA,DIA
Dulcet,DLC
Demonic Doge,DMD
DogeBonk,DOBO
DODO,DODO
Dogecoin,DOGE
Doraemoon,DORA
Binance Peg Polkado,DOT
Deeper Network,DPR
DeFi Yield Protocol,DYP
Waves Ducks,EGG
Elf Token,ELF
Binance Peg EOS,EOS
Epik Prime,EPIK
Ellipsis,EPS
Ethereum  Wormhole,ETH
EverSwap,EVER
Harvest Finance,FARM
FuturesCash,FCT
Fetch ai,FET
Binance Peg Filecoi,FIL
Binance Peg Firo,FIRO
Flux Protocol,FLUX
ForTube,FOR
Fox Finance,FOX
Frax,FRAX
Frontier,FRONT
FUSION,FSN
Fans Squid,FST
Fantom,FTM
FTX  Wormhole,FTT
Fuse,FUSE
Freeway Token,FWT
Frax Share,FXS
GameFi,GAFI
Gallant,GAL
Gala,GALA
Obyte,GBYTE
GameFi Token,GFI
GamerCoin,GHX
GreekMythology,GMT
GameX,GMX
GoCrypto,GOC
Gunstar Metaverse,GST
Global Trust Coin,GTC
Trickle,H2O
Hacken Token,HAI
HAPI,HAPI
SAVEBEE FARM HONEYC,HC
Step Hero,HERO
Heliumx,HEX
Hodl Finance,HFT
hi Dollar,HI
Highstreet,HIGH
Hoge Finance,HOGE
Hillstone Finance,HSF
Everest,ID
Inflation Hedging C,IHC
Injective,INJ
InsurAce,INSUR
Binance Peg IoTeX,IOTX
Infinity Pad,IPAD
Everipedia,IQ
Jupiter,JUP
KardiaChain,KAI
Kalmar,KALM
MoMo Key,KEY
Kyber Network Cryst,KNC
Kunci Coin,KUNCI
Liquidify,LAT
Lazio Fan Token,LAZIO
Lido DAO  Wormhole,LDO
Leo,LEO
Linear  BSC,LINA
Chainlink,LINK
Lossless,LSS
Binance Peg Litecoi,LTC
LTO Network,LTO
Cosmic Universe Mag,MAGIC
MetaAltPad,MAP
Mask Network,MASK
MATH,MATH
Polygon,MATIC
Mobox,MBOX
Monster Battle,MBS
MobieCoin,MBX
Merit Circle,MC
